crr_Nom;psu_Nem;psu_Leng;psu_Mate;psu_Cie;psu_Pond;Longitud;Latitud;cred_apr;distancia;F;M;PARTICULAR_SUBVENCIONADO;PARTICULAR_PAGADO;MUNICIPAL;cluster
INGENIERIA CIVIL BIOMEDICA;682;635;673;678;671;-73,089504;-36,776139;0;7,542787;0;1;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;579;667;694;646;654;-73,089504;-36,776139;0;7,542787;0;1;0;1;0;3
INGENIERIA CIVIL MECANICA;658;560;635;517;637;-73,1537483;-37,095304;27;31,363701;0;1;0;0;1;3
INGENIERIA CIVIL BIOMEDICA;582;531;659;598;610;-73,0526796;-36,8222841;24;1,64224;1;0;1;0;0;3
INGENIERIA CIVIL - PLAN COMUN;622;650;554;578;589;-73,0526796;-36,8222841;0;1,64224;0;1;1;0;0;4
INGENIERIA CIVIL EN TELECOMUNICACIONES;501;635;589;548;554;-73,401759;-37,806426;3;113,225156;0;1;1;0;0;3
INGENIERIA CIVIL INFORMATICA;814;579;583;546;680;-72,9539817;-36,6161135;18;24,728945;0;1;0;0;1;2
INGENIERIA CIVIL;501;541;705;591;612;-73,056048;-36,826041;27;1,797896;0;1;0;1;0;2
INGENIERIA CIVIL - PLAN COMUN;582;552;645;567;604;-73,056048;-36,826041;0;1,797896;0;1;0;1;0;3
INGENIERIA CIVIL BIOMEDICA;805;693;696;651;716;-72,1851915;-37,4322955;24;101,008509;0;1;1;0;0;1
INGENIERIA CIVIL QUIMICA;703;546;661;683;658;-72,1851915;-37,4322955;36;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL MECANICA;717;613;706;571;691;-72,1851915;-37,4322955;33;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRONICA;805;754;688;677;726;-72,1851915;-37,4322955;33;101,008509;0;1;1;0;0;1
INGENIERIA CIVIL;785;706;702;615;740;-72,1851915;-37,4322955;33;101,008509;0;1;1;0;0;1
INGENIERIA CIVIL BIOMEDICA;805;707;671;624;703;-72,1851915;-37,4322955;27;101,008509;1;0;1;0;0;1
INGENIERIA CIVIL MECANICA;740;574;644;552;671;-72,1851915;-37,4322955;27;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRONICA;620;508;646;589;610;-72,1851915;-37,4322955;24;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL DE MATERIALES;736;574;644;552;670;-72,1851915;-37,4322955;15;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL - PLAN COMUN;688;660;620;593;655;-72,1851915;-37,4322955;14;101,008509;1;0;1;0;0;4
INGENIERIA CIVIL DE MATERIALES;448;480;602;550;517;-72,1851915;-37,4322955;12;101,008509;0;1;1;0;0;3
INGENIERIA CIVIL - PLAN COMUN;627;559;628;534;627;-72,1851915;-37,4322955;6;101,008509;0;1;1;0;0;4
INGENIERIA CIVIL ELECTRONICA;779;574;719;591;721;-72,1851915;-37,4322955;0;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL EN TELECOMUNICACIONES;641;579;559;414;561;-72,1851915;-37,4322955;0;101,008509;0;1;1;0;0;4
INGENIERIA CIVIL ELECTRONICA;661;624;695;576;658;-72,1851915;-37,4322955;0;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL ELECTRONICA;661;645;660;581;646;-72,1851915;-37,4322955;0;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL MECANICA;661;624;636;594;634;-72,1851915;-37,4322955;0;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL DE MATERIALES;620;558;617;578;603;-72,1851915;-37,4322955;0;101,008509;1;0;1;0;0;4
INGENIERIA CIVIL MECANICA;688;711;638;602;674;-72,1851915;-37,4322955;0;101,008509;0;1;1;0;0;2
INGENIERIA CIVIL EN TELECOMUNICACIONES;620;510;585;558;578;-72,1851915;-37,4322955;0;101,008509;0;1;1;0;0;4
INGENIERÍA CIVIL DE MINAS;754;589;675;613;703;-73,0973447;-36,784576;36;7,345041;0;1;1;0;0;2
INGENIERIA CIVIL QUIMICA;783;589;675;672;722;-73,0973447;-36,784576;36;7,345041;0;1;1;0;0;2
INGENIERIA CIVIL INFORMATICA;750;706;727;651;740;-73,0973447;-36,784576;34;7,345041;1;0;1;0;0;1
INGENIERIA CIVIL INFORMATICA;805;647;617;608;672;-73,0973447;-36,784576;28;7,345041;0;1;1;0;0;2
INGENIERIA CIVIL DE MATERIALES;626;459;584;473;574;-73,0973447;-36,784576;3;7,345041;0;1;1;0;0;4
INGENIERIA CIVIL ELECTRONICA;641;531;651;628;632;-73,0973447;-36,784576;0;7,345041;0;1;1;0;0;3
INGENIERIA CIVIL MECANICA;688;630;702;648;680;-73,0464155;-36,829532;40;0,913203;0;1;0;1;0;2
